Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
1.243201559,34.83399947,27.89857558,1768.7,732067,-36.50833333,63.555,1784
1.597728147,34.84366851,27.88060956,1766.6,732068,-36.50833333,63.555,1784
1.807221892,34.84616786,27.86665333,1766.1,732069,-36.50833333,63.555,1784
1.300734182,34.79477632,27.86301755,1765.8,732070,-36.50833333,63.555,1784
1.151249738,34.80323232,27.8802643,1765.5,732071,-36.50833333,63.555,1784
1.112524999,34.82933475,27.90389839,1765.4,732072,-36.50833333,63.555,1784
1.234731273,34.84343608,27.9067474,1765.6,732073,-36.50833333,63.555,1784
1.64982097,34.85111817,27.88266694,1766,732074,-36.50833333,63.555,1784
2.018977033,34.82893859,27.83615725,1766.6,732075,-36.50833333,63.555,1784
1.832018733,34.84061852,27.86028057,1767,732076,-36.50833333,63.555,1784
1.43537038,34.79351456,27.85234414,1767.9,732077,-36.50833333,63.555,1784
1.272873776,34.81918479,27.88458854,1768.1,732078,-36.50833333,63.555,1784
1.420697233,34.8048051,27.86246934,1767.2,732079,-36.50833333,63.555,1784
1.270003277,34.8155659,27.88188473,1767.1,732080,-36.50833333,63.555,1784
1.699999737,34.83327591,27.86455615,1766.9,732081,-36.50833333,63.555,1784
1.418362108,34.81966836,27.87456677,1766.2,732082,-36.50833333,63.555,1784
1.382331907,34.80772194,27.86758078,1765.9,732083,-36.50833333,63.555,1784
1.097405246,34.85748875,27.92755576,1766,732084,-36.50833333,63.555,1784
0.86162582,34.84800494,27.93570771,1765.6,732085,-36.50833333,63.555,1784
1.140661218,34.84239724,27.91245829,1765.7,732086,-36.50833333,63.555,1784
1.786043729,34.83798521,27.86173371,1766.1,732087,-36.50833333,63.555,1784
1.60264567,34.82612992,27.8661746,1766.2,732088,-36.50833333,63.555,1784
1.574601304,34.80651713,27.85253724,1766.2,732089,-36.50833333,63.555,1784
1.676481761,34.82177992,27.85712496,1766.7,732090,-36.50833333,63.555,1784
1.546148139,34.80588108,27.85414031,1766.9,732091,-36.50833333,63.555,1784
1.62553249,34.80030269,27.84374588,1767.1,732092,-36.50833333,63.555,1784
